id,name,calories,proteins,fat,carbohydrate
115,Beras Ketan Hitam,356.0,7.0,0.7,78.0
116,Beras Ketan Hitam kukus,181.0,4.0,1.2,37.3
117,Beras Ketan Hitam tape,166.0,3.8,1.0,34.4
118,Beras Ketan Hitam tumbuk,360.0,8.0,2.3,74.5
119,Beras ketan hitam tumbuk mentah,360.0,8.0,2.3,74.5
120,Beras Ketan Putih,362.0,6.7,0.7,79.4
121,Beras Ketan Putih kukus,163.0,3.0,0.4,35.7
122,Beras Ketan Putih tape,172.0,3.0,0.5,37.5
123,Beras Ketan Putih tumbuk,361.0,7.4,0.8,78.4
124,Beras ketan putih tumbuk mentah,361.0,7.4,0.8,78.4
125,Beras ladang mentah,376.0,7.5,3.8,78.0
126,Beras Menir,339.0,7.7,4.4,73.0
127,Beras menir mentah,362.0,7.7,4.4,73.0
128,Beras Merah tumbuk,359.0,7.5,0.9,77.6
129,Beras Parboiled,364.0,6.8,0.6,80.1
130,Beras parboiled,353.0,6.8,0.6,80.0
131,Beras Pecah Kulit,335.0,7.4,1.9,76.2
132,Beras Setengah Giling,363.0,7.6,1.1,78.3
133,Beras Siger,344.0,1.1,0.2,28.3
134,Beras tumbuk mentah,354.0,7.8,0.4,79.9
135,Beras tumbuk merah mentah,352.0,7.3,0.9,76.2
136,Betok wadi masakan,145.0,16.3,7.0,4.1
137,Bihun,360.0,4.7,0.1,82.1
138,Bihun Goreng ,154.0,3.0,4.5,25.5
139,Bihun goreng instan,381.0,6.1,3.9,80.3
140,Bihun Jagung mentah,354.0,0.5,0.3,87.4
141,Bihun mentah,348.0,4.7,0.1,82.1
142,Biji Jambu Mete,562.0,21.2,49.6,23.6
143,Biji Jambu Mete goreng,629.0,21.5,56.6,19.8
144,Biji nangka/Biji salak,262.0,2.3,5.4,51.1
145,Bika ambon,199.0,2.1,1.5,44.4
146,Bika Ambon ,225.7,3.0,0.3,52.9
147,Bir (4% alkohol),48.0,0.6,0.0,4.4
148,Biskuit,458.0,6.9,14.4,75.1
149,Bit,42.0,1.6,0.1,9.6
150,Biwah segar,51.0,0.3,0.1,12.1
151,Bonggol Pisang,43.0,2.6,0.0,11.6
152,Bonggol Pisang kering,245.0,3.4,0.0,66.2
153,Bongkrek (tempe bungkil),119.0,4.4,3.5,18.3
154,Boros Kunci,23.0,1.0,0.8,7.2
155,Boros Laja (lengkuas),22.0,1.0,0.3,4.7
156,Botok lamtoro,186.0,11.7,9.7,13.0
157,Brem,249.0,3.4,0.4,58.0
158,Brondong ,400.0,4.0,0.7,95.3
159,Brongkos,141.0,15.3,3.3,12.6
160,Buah Atung,23.0,0.8,0.2,5.2
161,Buah kelenting segar,110.0,1.4,2.1,21.4
162,Buah kelor,38.0,1.5,0.2,7.5
163,Buah kom segar,264.0,4.0,1.1,59.6
164,Buah Mentega (bisbul),39.0,0.7,0.2,9.7
165,Buah merah,87.0,2.6,2.7,13.1
166,Buah Naga Merah segar,71.0,1.7,3.1,9.1
167,Buah Naga Putih segar,56.0,0.8,1.0,10.9
168,Buah negri segar,55.0,1.2,0.1,12.2
169,Buah Nona,101.0,1.7,0.6,25.2
170,Buah rotan segar,78.0,0.6,0.3,18.2
171,Buah rukam segar,113.0,0.8,0.3,26.8
172,Buah ruruhi segar,29.0,2.1,0.7,3.6
173,Buah tuppa segar,67.0,0.4,0.2,15.9
174,Buaya daging dendeng mentah,365.0,49.6,4.8,30.8
175,Bubur ,60.0,1.0,60.0,13.0
176,Bubur sagu,167.0,0.2,4.0,33.0
177,Bubur tinotuan (Manado),156.0,2.3,0.2,15.6
178,Bulgogi masakan,72.0,11.4,4.9,1.4
179,Bulung Jajan,212.0,16.9,0.2,47.6
180,Bulung Sangu,237.0,14.7,0.2,56.0
181,Buncis,35.0,2.4,0.2,7.7
182,Buncis asam,60.0,5.1,0.5,8.5
183,Buncis rebus,30.0,2.2,0.2,6.4
184,Bunga pepaya segar,45.0,2.6,0.3,8.1
185,Bunga turi segar,42.0,2.0,1.1,6.1
186,Bungkil Biji Karet,333.0,29.3,3.3,50.0
187,Bungkil Kacang Tanah,336.0,37.4,13.0,30.5
188,Bungkil Kelapa,368.0,23.0,15.0,40.0
189,Buntil ,106.0,4.4,6.3,7.9
190,Buntil daun talas,141.0,4.4,10.2,8.0
191,Buras ,125.7,3.3,1.9,23.9
192,Burung sarang segar,281.0,37.5,0.3,32.1
193,Cabai gembor merah segar,38.0,1.6,0.8,6.3
194,Cabai hijau segar,26.0,0.7,0.3,5.2
195,Cabai merah kering,367.0,15.9,6.2,61.8
196,Cabai merah segar,36.0,1.0,0.3,7.3
197,Cabai rawit segar,120.0,4.7,2.4,19.9
198,Caisin segar,20.0,1.7,0.4,3.4
199,Cakalang asar (asap papua),155.0,20.1,3.8,10.2
200,Cake tape,323.0,4.9,11.5,50.1
201,Cammetutu,102.0,3.2,6.0,8.7
202,Cantel mentah,366.0,11.0,3.3,73.0
203,Cap cai sayur,97.0,5.8,6.3,4.2
204,Carica papaya segar,24.0,1.9,0.2,3.7
205,Cassavastick,460.0,0.8,18.7,17.2
206,Cempedak,116.0,3.0,0.4,28.6
207,Cengkeh kering,330.0,5.2,8.9,57.4
208,Centel,332.0,11.0,3.3,73.0
209,Ceriping getuk singkong,462.0,1.2,20.7,67.7
210,Chicken teriyaki masakan,168.0,13.0,9.6,7.5
211,Chikiniku masakan,143.0,9.8,1.4,22.8
212,Coklat bubuk,311.0,8.0,4.0,48.9
213,Coklat Manis batang,472.0,2.0,29.8,62.7
214,Coklat Pahit batang,504.0,5.5,52.9,29.2
215,Coklat Susu batang,381.0,9.0,35.0,53.6
216,Combro ,210.0,1.6,6.6,35.8
217,Corned Beef,241.0,16.0,25.0,0.0
218,Coto mangkasara kuda masakan,96.0,6.8,5.9,3.8
219,Coto mangkasara sapi masakan,84.0,6.0,6.0,1.4
220,Cue Selar Kuning,145.0,27.0,2.3,0.0
221,Cuka,12.0,0.1,0.1,5.0
222,Cumi-cumi goreng,265.0,40.6,10.1,0.0
223,Cumi-cumi segar,75.0,16.1,0.7,0.1
224,Daging Anak Sapi,190.0,19.1,12.0,0.0
225,Daging Asap,191.0,32.0,6.0,0.0
226,Daging Babi Gemuk,457.0,11.6,45.0,0.0
227,Daging Babi Kurus,376.0,14.1,35.0,0.0
228,Daging Domba,206.0,17.1,14.8,0.0
229,Daging Kambing,154.0,16.6,9.2,0.0
230,Daging Kerbau,84.0,18.7,0.5,0.0
231,Daging Kuda,118.0,18.1,4.1,0.9
232,Daging Sapi,207.0,18.8,14.0,0.0
233,Daun bangun-bangun segar,27.0,1.3,0.6,4.0
234,Daun Bawang,29.0,1.8,0.7,5.2
235,Daun bawang  merah segar,41.0,2.0,0.3,7.8
236,Daun bebuas segar,41.0,2.7,1.0,7.3
237,Daun belem segar,50.0,4.4,1.4,7.8
238,Daun Beluntas,42.0,1.8,0.5,9.4
239,Daun Cincau,122.0,6.0,1.0,26.0
240,Daun Gandaria,60.0,3.1,0.3,14.0
241,Daun gedi besar segar,58.0,2.9,0.7,10.0
242,Daun gelang segar,30.0,1.3,0.7,5.8
243,Daun gunda bali segar,50.0,4.6,0.9,7.0
244,Daun gunda serang segar,62.0,4.2,0.9,9.2
245,Daun Jambu Mete muda,73.0,4.6,0.5,16.2
246,Daun jampang segar,34.0,3.8,0.5,5.3
247,Daun jawaw seluang segar,93.0,5.0,1.3,15.3
248,Daun jonghe segar,27.0,2.1,0.7,4.4
249,Daun kacang ma segar,36.0,2.9,0.6,6.8
250,Daun Kacang Panjang,34.0,4.1,0.4,5.8
251,Daun Kacang Panjang kukus,40.0,3.7,0.3,8.0
252,Daun kacang panjang segar,30.0,3.1,0.3,5.8
253,Daun kasbi/singkong karet segar,92.0,4.0,3.6,10.9
254,Daun Katuk,59.0,4.8,1.0,11.0
255,Daun katuk rebus,53.0,5.3,0.9,9.1
256,Daun katuk segar,59.0,6.4,1.0,9.9
257,Daun Kecipir,47.0,5.0,0.5,8.5
258,Daun Kedondong,59.0,2.8,0.3,13.4
259,Daun Kelor,82.0,6.7,1.7,14.3
260,Daun Kelor rebus,61.0,6.1,0.9,10.0
261,Daun Kemangi,46.0,4.0,0.5,8.9
262,Daun kenikir segar,45.0,3.7,0.5,6.6
263,Daun kesum segar,48.0,4.5,0.8,9.1
264,Daun kol sawi segar,22.0,2.1,0.5,3.6
265,Daun Koro,23.0,3.0,0.3,3.7
266,Daun kubis segar,51.0,2.5,1.1,8.0
267,Daun Kumak,14.0,1.3,0.3,2.3
268,Daun Labu Siam,60.0,4.0,0.4,4.7
269,Daun Labu Waluh,30.0,3.6,0.6,4.5
270,Daun lamtoro segar,87.0,8.3,1.8,14.4
271,Daun leilem segar,76.0,2.8,0.2,15.8
272,Daun Leunca,45.0,4.7,0.5,8.1
273,Daun Lobak,30.0,2.3,0.4,5.8
274,Daun Lompong Tales,40.0,3.0,0.8,7.4
275,Daun Mangkokan,54.0,3.7,0.3,11.8
276,Daun matel ambon segar,71.0,6.8,1.6,11.5
277,Daun Melinjo,99.0,5.0,1.3,21.3
278,Daun Mengkudu Kukus,63.0,3.8,1.5,11.5
279,Daun ndusuk segar,166.0,1.7,0.5,38.8
280,Daun Oyong,22.0,1.0,0.1,5.3
281,Daun oyong segar,22.0,1.0,0.1,5.3
282,Daun Pakis,35.0,4.0,0.3,6.4
283,Daun pakis longgiho segar,54.0,2.2,3.6,3.1
284,Daun pakis segar,39.0,4.5,0.4,6.9
285,Daun pakis wambateu segar,53.0,3.4,1.2,7.2
286,Daun paku segar,29.0,3.4,0.1,6.5
287,Daun pangisegar,104.0,3.9,0.6,17.9
288,Daun pare segar,49.0,2.7,1.0,8.4
289,Daun pepaya segar,87.0,8.0,2.0,11.9
290,Daun Pete Cina,128.0,12.0,6.5,12.4
291,Daun Poh-pohan,37.0,2.5,0.8,6.9
292,Daun salam  bubuk,301.0,14.2,10.9,49.0
293,Daun selasih segar,62.0,4.0,0.5,10.5
294,Daun Semanggi,45.0,4.4,8.0,0.5
295,Daun semanggi segar,45.0,4.4,0.5,8.5
296,Daun simpur segar,53.0,3.2,2.5,7.6
297,Daun singkil segar,68.0,2.0,1.0,15.2
298,Daun Singkong,73.0,6.8,1.2,13.0
299,Daun singkong ambon segar,144.0,12.7,1.2,25.2
300,Daun singkong ampenan segar,50.0,6.2,1.1,7.1
301,Daun singkong kopang segar,74.0,6.3,0.7,10.7
