a1_city,a2_province,b3_gender,b4_age,b5_religion,b6_ethnic,b7_education_level,b8_lived_in_urban_area_years,b9_occupation,b10_social_clas,b11_household_member,c12_household_income_monthly_in_million_idr,c13_time_of_income_receipt,c14_household_expenditure_monthly_in_million_idr,c15_%_monthly_expenditure_for_food,d16_health_factor,d17_price_factor,e18_religious_value_in_type_of_food,e19_religious_value_in_eating_places,e20_religious_value_in_consumption_pattern,e21_custom_value_in_type_of_food,e22_custom_value_in_eating_places,e23_custom_value_in_consumption_pattern,24_practice_of_food_consumption_based_on_religious_rules,25_practice_of_food_consumption_based_on_custom_rules,e26_buying_food_product_in_the_right_place_based_on_religious_rules,e27_type_of_dishes_variation_based_on_religious_rules,e28_practice_of_consuming_traditional_food
Jakarta,DKI Jakarta,Male,61,Islam,Minang,Senior High School,31,Private Employees,Middle Class,5,06:08:00,Weekly,06:04:00,43,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Male,26,Catholic,Batak,Master and doctoral degree,26,Enterpreneur,Middle Class,6,04:08:00,Weekly,04:04:00,38,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,27,Catholic,Batak,Master and doctoral degree,27,Enterpreneur,Lower Class,6,02:09:00,Daily,02:05:00,61,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,31,Protestant,Java,Bachelor degree,11,Enterpreneur,Middle Class,7,03:05:00,Weekly,03:01:00,58,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Female,36,Islam,Minang,Diploma,21,Enterpreneur,Middle Class,6,05:07:00,Weekly,05:03:00,34,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,56,Islam,Sunda,Master and doctoral degree,24,Government Employees,Upper Class,6,11:03:00,Monthly,10:09:00,26,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,63,Islam,Sunda,Bachelor degree,13,Government Employees,Lower Class,7,02:07:00,Daily,02:03:00,57,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Male,54,Islam,Sunda,Master and doctoral degree,24,Government Employees,Upper Class,8,10:01:00,Monthly,09:07:00,24,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,36,Islam,Sunda,Bachelor degree,36,Government Employees,Upper Class,7,12:05:00,Monthly,12:01:00,27,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,52,Islam,Sunda,Bachelor degree,21,Government Employees,Middle Class,7,03:02:00,Weekly,02:08:00,67,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,63,Catholic,Java,Bachelor degree,25,Private Employees,Middle Class,7,06:02:00,Weekly,05:08:00,36,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,54,Catholic,Sunda,Bachelor degree,32,Private Employees,Middle Class,7,06:04:00,Weekly,06:00:00,42,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree
Bandung,West Java,Female,30,Catholic,Batak,Senior High School,10,Private Employees,Lower Class,5,03:07:00,Daily,03:03:00,73,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,43,Islam,Sunda,Primary School,43,Private Employees,Lower Class,6,05:09:00,Daily,05:05:00,41,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,29,Islam,Sunda,Diploma,29,Enterpreneur,Middle Class,6,06:07:00,Weekly,06:03:00,33,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Female,36,Islam,Java,Bachelor degree,22,Enterpreneur,Upper Class,6,10:09:00,Monthly,10:05:00,19,Neither agree nor disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,33,Islam,Minang,Junior High School,33,Enterpreneur,Lower Class,6,03:09:00,Daily,03:05:00,69,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree
Bandung,West Java,Male,60,Islam,Bugis,Primary School,20,Enterpreneur,Lower Class,6,09:08:00,Daily,09:04:00,23,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,54,Islam,Java,Bachelor degree,24,Enterpreneur,Middle Class,7,09:06:00,Weekly,09:05:00,25,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Female,30,Protestant,Batak,Bachelor degree,30,Enterpreneur,Middle Class,6,03:06:00,Weekly,03:05:00,58,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,45,Catholic,Batak,Senior High School,23,Government Employees,Upper Class,5,05:07:00,Monthly,05:06:00,44,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Male,32,Catholic,Other,Diploma,23,Government Employees,Lower Class,6,06:04:00,Daily,06:03:00,35,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,25,Islam,Sunda,Senior High School,12,Government Employees,Lower Class,5,03:04:00,Daily,03:03:00,59,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,31,Islam,Sunda,Bachelor degree,31,Government Employees,Middle Class,5,02:09:00,Weekly,02:08:00,65,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,27,Islam,Java,Master and doctoral degree,27,Government Employees,Middle Class,6,05:06:00,Weekly,05:05:00,41,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,52,Islam,Java,Primary School,22,Government Employees,Upper Class,6,11:02:00,Monthly,11:01:00,26,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,60,Islam,Sunda,Bachelor degree,30,Government Employees,Upper Class,7,03:07:00,Monthly,03:06:00,76,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,25,Islam,Sunda,Junior High School,25,Enterpreneur,Upper Class,6,10:06:00,Monthly,10:05:00,22,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Female,31,Catholic,Java,Diploma,21,Enterpreneur,Middle Class,6,05:06:00,Weekly,05:05:00,18,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,36,Islam,Java,Bachelor degree,12,Enterpreneur,Lower Class,7,03:04:00,Daily,03:03:00,57,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Female,34,Islam,Java,Master and doctoral degree,34,Enterpreneur,Middle Class,8,06:08:00,Weekly,06:07:00,43,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Female,64,Islam,Sunda,Bachelor degree,23,Enterpreneur,Middle Class,7,04:08:00,Weekly,04:07:00,38,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,24,Hindu,Other,Bachelor degree,24,Enterpreneur,Lower Class,7,02:09:00,Daily,02:08:00,61,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,47,Protestant,Other,Bachelor degree,24,Independent Worker,Lower Class,7,03:05:00,Daily,03:04:00,58,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,28,Catholic,Sunda,Bachelor degree,28,Independent Worker,Middle Class,7,05:07:00,Weekly,05:06:00,34,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,48,Catholic,Sunda,Senior High School,48,Independent Worker,Upper Class,5,11:03:00,Monthly,11:02:00,26,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Male,26,Islam,Sunda,Diploma,6,Independent Worker,Lower Class,6,02:07:00,Daily,02:06:00,57,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Male,39,Islam,Minang,Master and doctoral degree,21,Independent Worker,Upper Class,6,10:01:00,Monthly,10:00:00,24,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Male,53,Islam,Sunda,Bachelor degree,32,Independent Worker,Upper Class,6,12:05:00,Monthly,12:04:00,27,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,57,Islam,Sunda,Bachelor degree,31,Private Employees,Lower Class,6,03:04:00,Daily,03:01:00,67,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Female,46,Islam,Java,Senior High School,24,Private Employees,Middle Class,5,06:08:00,Weekly,06:05:00,36,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree
Bandung,West Java,Male,53,Protestant,Sunda,Master and doctoral degree,30,Private Employees,Middle Class,6,04:08:00,Weekly,04:05:00,42,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Bandung,West Java,Male,58,Protestant,Java,Senior High School,29,Private Employees,Lower Class,5,02:09:00,Daily,02:06:00,73,Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Male,50,Catholic,Sunda,Senior High School,10,Government Employees,Middle Class,5,03:05:00,Weekly,03:02:00,41,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,54,Catholic,Batak,Diploma,14,Government Employees,Middle Class,6,05:07:00,Weekly,05:04:00,33,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,49,Islam,Sunda,Diploma,19,Enterpreneur,Upper Class,6,11:03:00,Monthly,11:00:00,19,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,23,Islam,Sunda,Bachelor degree,23,Enterpreneur,Lower Class,7,02:07:00,Daily,02:04:00,69,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Female,41,Islam,Other,Diploma,41,Enterpreneur,Upper Class,6,10:01:00,Monthly,09:08:00,23,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,62,Islam,Java,Primary School,22,Private Employees,Upper Class,6,12:05:00,Monthly,12:02:00,25,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,54,Islam,Java,Bachelor degree,23,Private Employees,Lower Class,7,03:08:00,Daily,03:05:00,57,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,50,Islam,Sunda,Master and doctoral degree,30,Private Employees,Middle Class,8,06:02:00,Weekly,05:09:00,43,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Female,34,Islam,Sunda,Bachelor degree,34,Private Employees,Middle Class,7,05:08:00,Weekly,05:04:00,38,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,39,Islam,Sunda,Bachelor degree,39,Private Employees,Lower Class,7,03:01:00,Daily,02:07:00,61,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,31,Catholic,Sunda,Bachelor degree,31,Private Employees,Lower Class,7,03:04:00,Daily,03:00:00,58,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,27,Islam,Other,Bachelor degree,27,Private Employees,Middle Class,7,05:06:00,Weekly,05:02:00,34,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,37,Islam,Java,Senior High School,37,Teacher‎/Lecturer,Upper Class,5,12:01:00,Monthly,11:07:00,26,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree
Bandung,West Java,Male,56,Islam,Minang,Bachelor degree,17,Teacher‎/Lecturer,Lower Class,6,02:09:00,Daily,02:05:00,57,Neither agree nor disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,54,Islam,Minang,Bachelor degree,27,Government Employees,Upper Class,6,10:03:00,Monthly,09:09:00,24,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree
Bandung,West Java,Female,62,Islam,Minang,Junior High School,21,Government Employees,Upper Class,6,14:02:00,Monthly,13:08:00,27,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,56,Islam,Sunda,Master and doctoral degree,26,Government Employees,Lower Class,6,03:04:00,Daily,03:01:00,67,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,51,Catholic,Sunda,Senior High School,21,Government Employees,Middle Class,5,06:07:00,Weekly,06:04:00,36,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,37,Catholic,Batak,Diploma,13,Government Employees,Middle Class,6,05:08:00,Weekly,05:05:00,42,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,42,Catholic,Other,Senior High School,22,Police Officer‎/Army,Lower Class,5,02:03:00,Daily,02:00:00,73,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Bandung,West Java,Female,49,Islam,Sunda,Senior High School,26,Police Officer‎/Army,Middle Class,5,04:09:00,Weekly,04:06:00,41,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,54,Islam,Sunda,Diploma,35,Private Employees,Middle Class,6,05:09:00,Weekly,05:06:00,33,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,33,Islam,Other,Diploma,13,Private Employees,Upper Class,6,11:04:00,Monthly,11:01:00,19,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,27,Islam,Sunda,Bachelor degree,12,Government Employees,Lower Class,7,03:00:00,Daily,02:06:00,69,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,35,Islam,Sunda,Master and doctoral degree,35,Police Officer‎/Army,Upper Class,6,15:07:00,Monthly,15:03:00,23,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,36,Islam,Sunda,Bachelor degree,11,Private Employees,Upper Class,6,13:02:00,Monthly,12:08:00,25,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,26,Protestant,Java,Bachelor degree,26,Private Employees,Lower Class,7,03:08:00,Daily,03:04:00,58,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
Bandung,West Java,Female,63,Protestant,Java,Master and doctoral degree,19,Private Employees,Middle Class,8,06:02:00,Weekly,05:08:00,44,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,26,Protestant,Java,Bachelor degree,26,Enterpreneur,Middle Class,7,05:08:00,Weekly,05:04:00,35,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,30,Islam,Sunda,Bachelor degree,30,Enterpreneur,Lower Class,7,03:01:00,Daily,02:07:00,59,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
Bandung,West Java,Female,34,Islam,Sunda,Bachelor degree,34,Enterpreneur,Lower Class,7,03:04:00,Daily,03:00:00,65,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,32,Islam,Other,Bachelor degree,32,Enterpreneur,Middle Class,7,05:06:00,Weekly,05:02:00,41,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,33,Islam,Other,Senior High School,33,Government Employees,Upper Class,5,12:01:00,Monthly,11:07:00,26,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,31,Islam,Other,Diploma,31,Government Employees,Lower Class,6,02:09:00,Daily,02:05:00,76,Disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Female,32,Islam,Other,Bachelor degree,32,Government Employees,Upper Class,6,10:03:00,Monthly,09:09:00,22,Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree
Bandung,West Java,Female,31,Budha,Other,Bachelor degree,31,Government Employees,Upper Class,6,14:02:00,Monthly,13:08:00,18,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Bandung,West Java,Male,27,Islam,Sunda,Master and doctoral degree,27,Government Employees,Lower Class,6,03:04:00,Daily,03:00:00,57,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Bandung,West Java,Male,28,Islam,Sunda,Senior High School,28,Private Employees,Middle Class,5,06:07:00,Weekly,06:03:00,43,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
